Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Primary Hyperparathyroidism.,""/pubmed/30592590"",""Choy KW."",""N Engl J Med. 2018 Dec 20";"379(25):e43. doi: 10.1056/NEJMc1813648. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592590"",""pubmed"",""30592590"",""create date:2018/12/29 | first author:Choy KW"",";;
"Dialysis-Facility Joint-Venture Ownership - Hidden Conflicts of Interest.,""/pubmed/30281994"",""Berns JS, Glickman A, McCoy MS."",""N Engl J Med. 2018 Oct 4";"379(14):1295-1297. doi: 10.1056/NEJMp1805097. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281994"",""pubmed"",""30281994"",""create date:2018/10/04 | first author:Berns JS"",";;
"Enzalutamide in Castration-Resistant Prostate Cancer.,""/pubmed/30281993"",""Hussain M, Saad F, Sternberg CN."",""N Engl J Med. 2018 Oct 4";"379(14):1381. doi: 10.1056/NEJMc1810065. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281993"",""pubmed"",""30281993"",""create date:2018/10/04 | first author:Hussain M"",";;
"Acceleration of BMI in Early Childhood and Risk of Sustained Obesity.,""/pubmed/30281992"",""Geserick M, Vogel M, Gausche R, Lipek T, Spielau U, Keller E, Pfäffle R, Kiess W, Körner A."",""N Engl J Med. 2018 Oct 4";"379(14):1303-1312. doi: 10.1056/NEJMoa1803527."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281992"",""pubmed"",""30281992"",""create date:2018/10/04 | first author:Geserick M"",";;
"Cabozantinib in Hepatocellular Carcinoma.,""/pubmed/30281991"",""Abou-Alfa GK, Borgman-Hagey AE, Kelley RK."",""N Engl J Med. 2018 Oct 4";"379(14):1384-1385. doi: 10.1056/NEJMc1810178. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281991"",""pubmed"",""30281991"",""create date:2018/10/04 | first author:Abou-Alfa GK"",";;
"A Shocking Turn of Events.,""/pubmed/30281990"",""Lakdawala N, Defilippis E, Miller A."",""N Engl J Med. 2018 Oct 4";"379(14):1386-1387. doi: 10.1056/NEJMc1809068. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281990"",""pubmed"",""30281990"",""create date:2018/10/04 | first author:Lakdawala N"",";;
"Physician as Double Agent - Conflicting Duties Arising from Employer-Sponsored Wellness Programs.,""/pubmed/30281989"",""Lamkin M."",""N Engl J Med. 2018 Oct 4";"379(14):1297-1299. doi: 10.1056/NEJMp1804295. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281989"",""pubmed"",""30281989"",""create date:2018/10/04 | first author:Lamkin M"",";;
"A Candida auris Outbreak and Its Control in an Intensive Care Setting.,""/pubmed/30281988"",""Eyre DW, Sheppard AE, Madder H, Moir I, Moroney R, Quan TP, Griffiths D, George S, Butcher L, Morgan M, Newnham R, Sunderland M, Clarke T, Foster D, Hoffman P, Borman AM, Johnson EM, Moore G, Brown CS, Walker AS, Peto TEA, Crook DW, et al."",""N Engl J Med. 2018 Oct 4";"379(14):1322-1331. doi: 10.1056/NEJMoa1714373."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281988"",""pubmed"",""30281988"",""create date:2018/10/04 | first author:Eyre DW"",";;
"Azithromycin and Childhood Mortality in Africa.,""/pubmed/30281987"",""Keenan JD, Arzika AM, Lietman TM";" MORDOR Study Group.."",""N Engl J Med. 2018 Oct 4";"379(14):1383-1384. doi: 10.1056/NEJMc1808346. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281987"",""pubmed"",""30281987"",""create date:2018/10/04 | first author:Keenan JD"",";
"Brittle Nails and Hair Loss in Hypothyroidism.,""/pubmed/30281986"",""Taguchi T."",""N Engl J Med. 2018 Oct 4";"379(14):1363. doi: 10.1056/NEJMicm1801633. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281986"",""pubmed"",""30281986"",""create date:2018/10/04 | first author:Taguchi T"",";;
"Woltman's Sign of Hypothyroidism.,""/pubmed/30281985"",""Iwasaki Y, Fukaya K."",""N Engl J Med. 2018 Oct 4";"379(14):e23. doi: 10.1056/NEJMicm1713796. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281985"",""pubmed"",""30281985"",""create date:2018/10/04 | first author:Iwasaki Y"",";;
"Fatal Encephalitic Borna Disease Virus 1 in Solid-Organ Transplant Recipients.,""/pubmed/30281984"",""Schlottau K, Forth L, Angstwurm K, Höper D, Zecher D, Liesche F, Hoffmann B, Kegel V, Seehofer D, Platen S, Salzberger B, Liebert UG, Niller HH, Schmidt B, Matiasek K, Riemenschneider MJ, Brochhausen C, Banas B, Renders L, Moog P, Wunderlich S, Seifert CL, et al."",""N Engl J Med. 2018 Oct 4";"379(14):1377-1379. doi: 10.1056/NEJMc1803115. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281984"",""pubmed"",""30281984"",""create date:2018/10/04 | first author:Schlottau K"",";;
"The Name of the Dog.,""/pubmed/30281983"",""Safder T."",""N Engl J Med. 2018 Oct 4";"379(14):1299-1301. doi: 10.1056/NEJMp1806388. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281983"",""pubmed"",""30281983"",""create date:2018/10/04 | first author:Safder T"",";;
"Acne Vulgaris.,""/pubmed/30281982"",""Zaenglein AL."",""N Engl J Med. 2018 Oct 4";"379(14):1343-1352. doi: 10.1056/NEJMcp1702493. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281982"",""pubmed"",""30281982"",""create date:2018/10/04 | first author:Zaenglein AL"",";;
"A Tricky Diagnosis.,""/pubmed/30281981"",""Singh A, Frazee B, Talan DA, Ng V, Perez B."",""N Engl J Med. 2018 Oct 4";"379(14):1364-1369. doi: 10.1056/NEJMcps1800926. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281981"",""pubmed"",""30281981"",""create date:2018/10/04 | first author:Singh A"",";;
"COMMANDER HF - A Trial and an Answer.,""/pubmed/30281980"",""Pfeffer MA, Tardif JC."",""N Engl J Med. 2018 Oct 4";"379(14):1372-1374. doi: 10.1056/NEJMe1811089. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281980"",""pubmed"",""30281980"",""create date:2018/10/04 | first author:Pfeffer MA"",";;
"Fatal Encephalitis Associated with Borna Disease Virus 1.,""/pubmed/30281979"",""Korn K, Coras R, Bobinger T, Herzog SM, Lücking H, Stöhr R, Huttner HB, Hartmann A, Ensser A."",""N Engl J Med. 2018 Oct 4";"379(14):1375-1377. doi: 10.1056/NEJMc1800724. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281979"",""pubmed"",""30281979"",""create date:2018/10/04 | first author:Korn K"",";;
"New Tools in the Ebola Arsenal.,""/pubmed/30281389"",""Damon IK, Rollin PE, Choi MJ, Arthur RR, Redfield RR."",""N Engl J Med. 2018 Nov 22";"379(21):1981-1983. doi: 10.1056/NEJMp1811751. Epub 2018 Oct 3. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281389"",""pubmed"",""30281389"",""create date:2018/10/04 | first author:Damon IK"",";;
"Men's Fear of Mentoring in the #MeToo Era - What's at Stake for Academic Medicine?,""/pubmed/30281387"",""Soklaridis S, Zahn C, Kuper A, Gillis D, Taylor VH, Whitehead C."",""N Engl J Med. 2018 Dec 6";"379(23):2270-2274. doi: 10.1056/NEJMms1805743. Epub 2018 Oct 3. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281387"",""pubmed"",""30281387"",""create date:2018/10/04 | first author:Soklaridis S"",";;
"Overall Survival with Durvalumab after Chemoradiotherapy in Stage III NSCLC.,""/pubmed/30280658"",""Antonia SJ, Villegas A, Daniel D, Vicente D, Murakami S, Hui R, Kurata T, Chiappori A, Lee KH, de Wit M, Cho BC, Bourhaba M, Quantin X, Tokito T, Mekhail T, Planchard D, Kim YC, Karapetis CS, Hiret S, Ostoros G, Kubota K, Gray JE, et al."",""N Engl J Med. 2018 Dec 13";"379(24):2342-2350. doi: 10.1056/NEJMoa1809697. Epub 2018 Sep 25."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30280658"",""pubmed"",""30280658"",""create date:2018/10/04 | first author:Antonia SJ"",";;
"Brigatinib versus Crizotinib in ALK-Positive Non-Small-Cell Lung Cancer.,""/pubmed/30280657"",""Camidge DR, Kim HR, Ahn MJ, Yang JC, Han JY, Lee JS, Hochmair MJ, Li JY, Chang GC, Lee KH, Gridelli C, Delmonte A, Garcia Campelo R, Kim DW, Bearz A, Griesinger F, Morabito A, Felip E, Califano R, Ghosh S, Spira A, Gettinger SN, et al."",""N Engl J Med. 2018 Nov 22";"379(21):2027-2039. doi: 10.1056/NEJMoa1810171. Epub 2018 Sep 25."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30280657"",""pubmed"",""30280657"",""create date:2018/10/04 | first author:Camidge DR"",";;
"An Outbreak of Synthetic Cannabinoid-Associated Coagulopathy in Illinois.,""/pubmed/30280655"",""Kelkar AH, Smith NA, Martial A, Moole H, Tarantino MD, Roberts JC."",""N Engl J Med. 2018 Sep 27";"379(13):1216-1223. doi: 10.1056/NEJMoa1807652."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30280655"",""pubmed"",""30280655"",""create date:2018/10/04 | first author:Kelkar AH"",";;
"Wearable Cardioverter-Defibrillator after Myocardial Infarction.,""/pubmed/30280654"",""Olgin JE, Pletcher MJ, Vittinghoff E, Wranicz J, Malik R, Morin DP, Zweibel S, Buxton AE, Elayi CS, Chung EH, Rashba E, Borggrefe M, Hue TF, Maguire C, Lin F, Simon JA, Hulley S, Lee BK";" VEST Investigators.."",""N Engl J Med. 2018 Sep 27";"379(13):1205-1215. doi: 10.1056/NEJMoa1800781."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30280654 | PMCID:PMC6276371"",""pubmed"",""30280654"",""create date:2018/10/04 | first author:Olgin JE"",";
"Phase 2b Controlled Trial of M72/AS01(E) Vaccine to Prevent Tuberculosis.,""/pubmed/30280651"",""Van Der Meeren O, Hatherill M, Nduba V, Wilkinson RJ, Muyoyeta M, Van Brakel E, Ayles HM, Henostroza G, Thienemann F, Scriba TJ, Diacon A, Blatner GL, Demoitié MA, Tameris M, Malahleha M, Innes JC, Hellström E, Martinson N, Singh T, Akite EJ, Khatoon Azam A, Bollaerts A, et al."",""N Engl J Med. 2018 Oct 25";"379(17):1621-1634. doi: 10.1056/NEJMoa1803484. Epub 2018 Sep 25."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30280651 | PMCID:PMC6151253"",""pubmed"",""30280651"",""create date:2018/10/04 | first author:Van Der Meeren O"",";;
"Prediction of Susceptibility to First-Line Tuberculosis Drugs by DNA Sequencing.,""/pubmed/30280646"",""CRyPTIC Consortium and the 100,000 Genomes Project., Allix-Béguec C, Arandjelovic I, Bi L, Beckert P, Bonnet M, Bradley P, Cabibbe AM, Cancino-Muñoz I, Caulfield MJ, Chaiprasert A, Cirillo DM, Clifton DA, Comas I, Crook DW, De Filippo MR, de Neeling H, Diel R, Drobniewski FA, Faksri K, Farhat MR, Fleming J, et al."",""N Engl J Med. 2018 Oct 11";"379(15):1403-1415. doi: 10.1056/NEJMoa1800474. Epub 2018 Sep 26."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30280646 | PMCID:PMC6121966"",""pubmed"",""30280646"",""create date:2018/10/04 | first author:CRyPTIC Consortium and the 100,000 Genomes Project."",";;
"First-Line Atezolizumab plus Chemotherapy in Extensive-Stage Small-Cell Lung Cancer.,""/pubmed/30280641"",""Horn L, Mansfield AS, Szczęsna A, Havel L, Krzakowski M, Hochmair MJ, Huemer F, Losonczy G, Johnson ML, Nishio M, Reck M, Mok T, Lam S, Shames DS, Liu J, Ding B, Lopez-Chavez A, Kabbinavar F, Lin W, Sandler A, Liu SV";" IMpower133 Study Group.."",""N Engl J Med. 2018 Dec 6";"379(23):2220-2229. doi: 10.1056/NEJMoa1809064. Epub 2018 Sep 25."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30280641"",""pubmed"",""30280641"",""create date:2018/10/04 | first author:Horn L"",";
"Transcatheter Mitral-Valve Repair in Patients with Heart Failure.,""/pubmed/30280640"",""Stone GW, Lindenfeld J, Abraham WT, Kar S, Lim DS, Mishell JM, Whisenant B, Grayburn PA, Rinaldi M, Kapadia SR, Rajagopal V, Sarembock IJ, Brieke A, Marx SO, Cohen DJ, Weissman NJ, Mack MJ";" COAPT Investigators.."",""N Engl J Med. 2018 Dec 13";"379(24):2307-2318. doi: 10.1056/NEJMoa1806640. Epub 2018 Sep 23."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30280640"",""pubmed"",""30280640"",""create date:2018/10/04 | first author:Stone GW"",";
"Pembrolizumab plus Chemotherapy for Squamous Non-Small-Cell Lung Cancer.,""/pubmed/30280635"",""Paz-Ares L, Luft A, Vicente D, Tafreshi A, Gümüş M, Mazières J, Hermes B, Çay Şenler F, Csőszi T, Fülöp A, Rodríguez-Cid J, Wilson J, Sugawara S, Kato T, Lee KH, Cheng Y, Novello S, Halmos B, Li X, Lubiniecki GM, Piperdi B, Kowalski DM";" et al."",""N Engl J Med. 2018 Nov 22";"379(21):2040-2051. doi: 10.1056/NEJMoa1810865. Epub 2018 Sep 25."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30280635"",""pubmed"",""30280635"",""create date:2018/10/04 | first author:Paz-Ares L"",";
"A Not-So-New Treatment for Old Bones.,""/pubmed/30273092"",""Rosen CJ."",""N Engl J Med. 2018 Dec 20";"379(25):2465-2466. doi: 10.1056/NEJMe1812434. Epub 2018 Oct 1. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30273092"",""pubmed"",""30273092"",""create date:2018/10/03 | first author:Rosen CJ"",";;
"Diagnosis and Management of the Antiphospholipid Syndrome.,""/pubmed/30260603"",""Lackner KJ, Müller‑Calleja N."",""N Engl J Med. 2018 Sep 27";"379(13):1290. doi: 10.1056/NEJMc1808253. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260603"",""pubmed"",""30260603"",""create date:2018/09/28 | first author:Lackner KJ"",";;
"Diagnosis and Management of the Antiphospholipid Syndrome.,""/pubmed/30260602"",""Riera-Mestre A, Vidaller A."",""N Engl J Med. 2018 Sep 27";"379(13):1289-90. doi: 10.1056/NEJMc1808253. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260602"",""pubmed"",""30260602"",""create date:2018/09/28 | first author:Riera-Mestre A"",";;
"Diagnosis and Management of the Antiphospholipid Syndrome.,""/pubmed/30260601"",""Ciavarella A, Martinelli I."",""N Engl J Med. 2018 Sep 27";"379(13):1289. doi: 10.1056/NEJMc1808253. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260601"",""pubmed"",""30260601"",""create date:2018/09/28 | first author:Ciavarella A"",";;
"Intussusception after Rotavirus Vaccination in Africa.,""/pubmed/30260600"",""Elmakki E."",""N Engl J Med. 2018 Sep 27";"379(13):1288. doi: 10.1056/NEJMc1807645. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260600"",""pubmed"",""30260600"",""create date:2018/09/28 | first author:Elmakki E"",";;
"Ambulatory Blood Pressure and Mortality.,""/pubmed/30260599"",""Afsar B."",""N Engl J Med. 2018 Sep 27";"379(13):1286-7. doi: 10.1056/NEJMc1809851. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260599"",""pubmed"",""30260599"",""create date:2018/09/28 | first author:Afsar B"",";;
"Ambulatory Blood Pressure and Mortality.,""/pubmed/30260598"",""Thijs L, Yang WY, Staessen JA."",""N Engl J Med. 2018 Sep 27";"379(13):1286. doi: 10.1056/NEJMc1809851. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260598"",""pubmed"",""30260598"",""create date:2018/09/28 | first author:Thijs L"",";;
"Ambulatory Blood Pressure and Mortality.,""/pubmed/30260597"",""Torp-Pedersen C."",""N Engl J Med. 2018 Sep 27";"379(13):1285-6. doi: 10.1056/NEJMc1809851. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260597"",""pubmed"",""30260597"",""create date:2018/09/28 | first author:Torp-Pedersen C"",";;
"Family-Support Intervention in the ICU.,""/pubmed/30260169"",""Mao Z, Chen X, Shiwani H."",""N Engl J Med. 2018 Sep 27";"379(13):1284-5. doi: 10.1056/NEJMc1809967. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260169"",""pubmed"",""30260169"",""create date:2018/09/28 | first author:Mao Z"",";;
"Family-Support Intervention in the ICU.,""/pubmed/30260168"",""Akca O."",""N Engl J Med. 2018 Sep 27";"379(13):1284. doi: 10.1056/NEJMc1809967. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260168"",""pubmed"",""30260168"",""create date:2018/09/28 | first author:Akca O"",";;
"Family-Support Intervention in the ICU.,""/pubmed/30260167"",""Yusufov M, Leiter R, Poort H."",""N Engl J Med. 2018 Sep 27";"379(13):1283-4. doi: 10.1056/NEJMc1809967. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260167"",""pubmed"",""30260167"",""create date:2018/09/28 | first author:Yusufov M"",";;
"Restrictive or Liberal Fluid Therapy for Major Abdominal Surgery.,""/pubmed/30260165"",""Sahutoglu T, Sahutoglu E."",""N Engl J Med. 2018 Sep 27";"379(13):1282-3. doi: 10.1056/NEJMc1810465. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260165"",""pubmed"",""30260165"",""create date:2018/09/28 | first author:Sahutoglu T"",";;
"Restrictive or Liberal Fluid Therapy for Major Abdominal Surgery.,""/pubmed/30260164"",""Strachan A."",""N Engl J Med. 2018 Sep 27";"379(13):1282. doi: 10.1056/NEJMc1810465. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260164"",""pubmed"",""30260164"",""create date:2018/09/28 | first author:Strachan A"",";;
"Restrictive or Liberal Fluid Therapy for Major Abdominal Surgery.,""/pubmed/30260162"",""Bowen J, Shankar R."",""N Engl J Med. 2018 Sep 27";"379(13):1281-2. doi: 10.1056/NEJMc1810465. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260162"",""pubmed"",""30260162"",""create date:2018/09/28 | first author:Bowen J"",";;
"Restrictive or Liberal Fluid Therapy for Major Abdominal Surgery.,""/pubmed/30260161"",""Pessey F, Giacardi C, Aries P."",""N Engl J Med. 2018 Sep 27";"379(13):1281. doi: 10.1056/NEJMc1810465. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260161"",""pubmed"",""30260161"",""create date:2018/09/28 | first author:Pessey F"",";;
"Trends in Modern Phase 1 Oncology Trials.,""/pubmed/30260158"",""Jones RL."",""N Engl J Med. 2018 Sep 20";"379(12):1188-9. doi: 10.1056/NEJMc1808907. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260158"",""pubmed"",""30260158"",""create date:2018/09/28 | first author:Jones RL"",";;
"Atezolizumab Treatment of Nonsquamous NSCLC.,""/pubmed/30260157"",""Ashraf N."",""N Engl J Med. 2018 Sep 20";"379(12):1187-8. doi: 10.1056/NEJMc1809195. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260157"",""pubmed"",""30260157"",""create date:2018/09/28 | first author:Ashraf N"",";;
"Atezolizumab Treatment of Nonsquamous NSCLC.,""/pubmed/30260156"",""Mountzios G, Calles A, Addeo A."",""N Engl J Med. 2018 Sep 20";"379(12):1187. doi: 10.1056/NEJMc1809195. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260156"",""pubmed"",""30260156"",""create date:2018/09/28 | first author:Mountzios G"",";;
"Ivosidenib in IDH1-Mutated Acute Myeloid Leukemia.,""/pubmed/30260155"",""Yun S, Vincelette ND."",""N Engl J Med. 2018 Sep 20";"379(12):1186. doi: 10.1056/NEJMc1809507. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260155"",""pubmed"",""30260155"",""create date:2018/09/28 | first author:Yun S"",";;
"Ivosidenib in IDH1-Mutated Acute Myeloid Leukemia.,""/pubmed/30260154"",""Sahin I."",""N Engl J Med. 2018 Sep 20";"379(12):1186. doi: 10.1056/NEJMc1809507. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260154"",""pubmed"",""30260154"",""create date:2018/09/28 | first author:Sahin I"",";;
"Cultured Cells and ROCK Inhibitor for Bullous Keratopathy.,""/pubmed/30260153"",""Van den Bogerd B, Dhubhghaill SN, Zakaria N."",""N Engl J Med. 2018 Sep 20";"379(12):1184-5. doi: 10.1056/NEJMc1805808. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30260153"",""pubmed"",""30260153"",""create date:2018/09/28 | first author:Van den Bogerd B"",";;
