Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Ancestors.,""/pubmed/30657840"",""Halberstadt CS."",""JAMA. 2018 Dec 11";"320(22):2382. doi: 10.1001/jama.2018.11167. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657840"",""pubmed"",""30657840"",""create date:2019/01/19 | first author:Halberstadt CS"",";;
"Graduate Medical Education, 2017-2018.,""/pubmed/30208434"",""Brotherton SE, Etzel SI."",""JAMA. 2018 Sep 11";"320(10):1051-1070. doi: 10.1001/jama.2018.10650. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208434"",""pubmed"",""30208434"",""create date:2018/09/13 | first author:Brotherton SE"",";;
"The Discovery and Development of Propofol Anesthesia: The 2018 Lasker-DeBakey Clinical Medical Research Award.,""/pubmed/30208399"",""Glen JBI."",""JAMA. 2018 Sep 25";"320(12):1235-1236. doi: 10.1001/jama.2018.12756. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208399"",""pubmed"",""30208399"",""create date:2018/09/13 | first author:Glen JBI"",";;
"Genetics, Biochemistry, and ""Simple"" Organisms Converge to Unlock Secrets in Histone Biology: The 2018 Albert Lasker Basic Medical Research Award.,""/pubmed/30208392"",""Grunstein M, Allis CD."",""JAMA. 2018 Sep 25";"320(12):1233-1234. doi: 10.1001/jama.2018.12437. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208392"",""pubmed"",""30208392"",""create date:2018/09/13 | first author:Grunstein M"",";;
"Substantial Shifts in Supreme Court Health Law Jurisprudence.,""/pubmed/30193377"",""Gostin LO, Hodge JG Jr."",""JAMA. 2018 Oct 9";"320(14):1431-1432. doi: 10.1001/jama.2018.12331. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193377"",""pubmed"",""30193377"",""create date:2018/09/08 | first author:Gostin LO"",";;
"The Path to the First FDA-Approved Cannabis-Derived Treatment and What Comes Next.,""/pubmed/30193358"",""Rubin R."",""JAMA. 2018 Sep 25";"320(12):1227-1229. doi: 10.1001/jama.2018.11914. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193358"",""pubmed"",""30193358"",""create date:2018/09/08 | first author:Rubin R"",";;
"Politics and Health Care.,""/pubmed/30193348"",""Berwick DM."",""JAMA. 2018 Oct 9";"320(14):1437-1438. doi: 10.1001/jama.2018.12566. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193348"",""pubmed"",""30193348"",""create date:2018/09/08 | first author:Berwick DM"",";;
"Campaign Contributions From Political Action Committees to Members of Congressional Committees Responding to the Opioid Crisis.,""/pubmed/30193339"",""McCoy MS, Kanter GP."",""JAMA. 2018 Oct 9";"320(14):1489-1491. doi: 10.1001/jama.2018.11338. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193339"",""pubmed"",""30193339"",""create date:2018/09/08 | first author:McCoy MS"",";;
"Million Hearts 2022: Small Steps Are Needed for Cardiovascular Disease Prevention.,""/pubmed/30193304"",""Wright JS, Wall HK, Ritchey MD."",""JAMA. 2018 Nov 13";"320(18):1857-1858. doi: 10.1001/jama.2018.13326. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193304"",""pubmed"",""30193304"",""create date:2018/09/08 | first author:Wright JS"",";;
"Screening for Syphilis Infection in Pregnant Women: US Preventive Services Task Force Reaffirmation Recommendation Statement.,""/pubmed/30193283"",""US Preventive Services Task Force., Curry SJ, Krist AH, Owens DK, Barry MJ, Caughey AB, Davidson KW, Doubeni CA, Epling JW Jr, Kemper AR, Kubik M, Kurth AE, Landefeld CS, Mangione CM, Phipps MG, Silverstein M, Simon MA, Tseng CW, Wong JB."",""JAMA. 2018 Sep 4";"320(9):911-917. doi: 10.1001/jama.2018.11785."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193283"",""pubmed"",""30193283"",""create date:2018/09/08 | first author:US Preventive Services Task Force."",";;
"Screening for Syphilis Infection in Pregnant Women: Updated Evidence Report and Systematic Review for the US Preventive Services Task Force.,""/pubmed/30193282"",""Lin JS, Eder ML, Bean SI."",""JAMA. 2018 Sep 4";"320(9):918-925. doi: 10.1001/jama.2018.7769. Review."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193282"",""pubmed"",""30193282"",""create date:2018/09/08 | first author:Lin JS"",";;
"Good Documentation.,""/pubmed/30193280"",""Kommer CG."",""JAMA. 2018 Sep 4";"320(9):875-876. doi: 10.1001/jama.2018.11781. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193280"",""pubmed"",""30193280"",""create date:2018/09/08 | first author:Kommer CG"",";;
"Screening for Syphilis in Pregnant Women.,""/pubmed/30193278"",""Jin J."",""JAMA. 2018 Sep 4";"320(9):948. doi: 10.1001/jama.2018.12119. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193278"",""pubmed"",""30193278"",""create date:2018/09/08 | first author:Jin J"",";;
"Mandatory Medicare Bundled Payment Program for Lower Extremity Joint Replacement and Discharge to Institutional Postacute Care: Interim Analysis of the First Year of a 5-Year Randomized Trial.,""/pubmed/30193277"",""Finkelstein A, Ji Y, Mahoney N, Skinner J."",""JAMA. 2018 Sep 4";"320(9):892-900. doi: 10.1001/jama.2018.12346."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193277 | PMCID:PMC6142993"",""pubmed"",""30193277"",""create date:2018/09/08 | first author:Finkelstein A"",";;
"Association of Hospital Participation in a Medicare Bundled Payment Program With Volume and Case Mix of Lower Extremity Joint Replacement Episodes.,""/pubmed/30193276"",""Navathe AS, Liao JM, Dykstra SE, Wang E, Lyon ZM, Shah Y, Martinez J, Small DS, Werner RM, Dinh C, Ma X, Emanuel EJ."",""JAMA. 2018 Sep 4";320(9):901-910. doi: 10.1001/jama.2018.12345. Erratum in: JAMA. 2018 Dec 11;"320(22):2381. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193276 | PMCID:PMC6142996"",""pubmed"",""30193276"",""create date:2018/09/08 | first author:Navathe AS"",";
"Effect of Immediate vs Gradual Reduction in Nicotine Content of Cigarettes on Biomarkers of Smoke Exposure: A Randomized Clinical Trial.,""/pubmed/30193275"",""Hatsukami DK, Luo X, Jensen JA, al'Absi M, Allen SS, Carmella SG, Chen M, Cinciripini PM, Denlinger-Apte R, Drobes DJ, Koopmeiners JS, Lane T, Le CT, Leischow S, Luo K, McClernon FJ, Murphy SE, Paiano V, Robinson JD, Severson H, Sipe C, Strasser AA, et al."",""JAMA. 2018 Sep 4";"320(9):880-891. doi: 10.1001/jama.2018.11473."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193275"",""pubmed"",""30193275"",""create date:2018/09/08 | first author:Hatsukami DK"",";;
"Drugs for Tobacco Dependence.,""/pubmed/30193274"",""[No authors listed]"",""JAMA. 2018 Sep 4";"320(9):926-927. doi: 10.1001/jama.2018.12463. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193274"",""pubmed"",""30193274"",""create date:2018/09/08"",";;
"Lowering the P Value Threshold-Reply.,""/pubmed/30193273"",""Ioannidis JPA."",""JAMA. 2018 Sep 4";"320(9):937-938. doi: 10.1001/jama.2018.8743. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193273"",""pubmed"",""30193273"",""create date:2018/09/08 | first author:Ioannidis JPA"",";;
"SMART in the Management of Patients With Persistent Asthma-Reply.,""/pubmed/30193272"",""Sobieraj DM, Baker WL."",""JAMA. 2018 Sep 4";"320(9):934. doi: 10.1001/jama.2018.8577. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193272"",""pubmed"",""30193272"",""create date:2018/09/08 | first author:Sobieraj DM"",";;
"Lowering the P Value Threshold.,""/pubmed/30193271"",""Hernandez I, Gellad WF, Good CB."",""JAMA. 2018 Sep 4";"320(9):935. doi: 10.1001/jama.2018.8733. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193271"",""pubmed"",""30193271"",""create date:2018/09/08 | first author:Hernandez I"",";;
"Lowering the P Value Threshold.,""/pubmed/30193270"",""Gebski V, Byth K."",""JAMA. 2018 Sep 4";"320(9):935-936. doi: 10.1001/jama.2018.8729. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193270"",""pubmed"",""30193270"",""create date:2018/09/08 | first author:Gebski V"",";;
"Lowering the P Value Threshold.,""/pubmed/30193269"",""Janssens ACJW, Penders B."",""JAMA. 2018 Sep 4";"320(9):936-937. doi: 10.1001/jama.2018.8725. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193269"",""pubmed"",""30193269"",""create date:2018/09/08 | first author:Janssens ACJW"",";;
"Lowering the P Value Threshold.,""/pubmed/30193268"",""Wei Y, Chen F."",""JAMA. 2018 Sep 4";"320(9):934-935. doi: 10.1001/jama.2018.8721. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193268"",""pubmed"",""30193268"",""create date:2018/09/08 | first author:Wei Y"",";;
"Lowering the P Value Threshold.,""/pubmed/30193267"",""Barach P, Thomas RL, Lipshultz SE."",""JAMA. 2018 Sep 4";"320(9):936. doi: 10.1001/jama.2018.8717. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193267"",""pubmed"",""30193267"",""create date:2018/09/08 | first author:Barach P"",";;
"SMART in the Management of Patients With Persistent Asthma.,""/pubmed/30193266"",""Xia Y, Xia L, Shen H."",""JAMA. 2018 Sep 4";"320(9):933-934. doi: 10.1001/jama.2018.8573. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193266"",""pubmed"",""30193266"",""create date:2018/09/08 | first author:Xia Y"",";;
"Uptake of the Biologic Filgrastim and Its Biosimilar Product Among the Medicare Population.,""/pubmed/30193265"",""Kozlowski S, Birger N, Brereton S, McKean SJ, Wernecke M, Christl L, Kelman JA."",""JAMA. 2018 Sep 4";"320(9):929-931. doi: 10.1001/jama.2018.9014. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193265 | PMCID:PMC6142991"",""pubmed"",""30193265"",""create date:2018/09/08 | first author:Kozlowski S"",";;
"Out-of-Pocket Costs for Infliximab and Its Biosimilar for Rheumatoid Arthritis Under Medicare Part D.,""/pubmed/30193264"",""Yazdany J, Dudley RA, Lin GA, Chen R, Tseng CW."",""JAMA. 2018 Sep 4";"320(9):931-933. doi: 10.1001/jama.2018.7316. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193264 | PMCID:PMC6142992"",""pubmed"",""30193264"",""create date:2018/09/08 | first author:Yazdany J"",";;
"The Dietary Habits of American College Girls.,""/pubmed/30193263"",""[No authors listed]"",""JAMA. 2018 Sep 4";"320(9):940. doi: 10.1001/jama.2017.12556. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193263"",""pubmed"",""30193263"",""create date:2018/09/08"",";;
"Magnetic Tracer System Identifies Sentinel Lymph Nodes.,""/pubmed/30193261"",""Voelker R."",""JAMA. 2018 Sep 4";"320(9):864. doi: 10.1001/jama.2018.12152. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193261"",""pubmed"",""30193261"",""create date:2018/09/08 | first author:Voelker R"",";;
"When Is Milk Really Milk?,""/pubmed/30193260"",""Voelker R."",""JAMA. 2018 Sep 4";"320(9):864. doi: 10.1001/jama.2018.12148. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193260"",""pubmed"",""30193260"",""create date:2018/09/08 | first author:Voelker R"",";;
"New Endometriosis Drug Approved.,""/pubmed/30193259"",""Voelker R."",""JAMA. 2018 Sep 4";"320(9):864. doi: 10.1001/jama.2018.12146. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193259"",""pubmed"",""30193259"",""create date:2018/09/08 | first author:Voelker R"",";;
"Medicare Bundled Payment Programs for Joint Replacement: Anatomy of a Successful Payment Reform.,""/pubmed/30193258"",""Ryan AM."",""JAMA. 2018 Sep 4";320(9):877-879. doi: 10.1001/jama.2018.11787. No abstract available.  Erratum in: JAMA. 2018 Dec 11;"320(22):2381. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193258"",""pubmed"",""30193258"",""create date:2018/09/08 | first author:Ryan AM"",";
"Error in Figure.,""/pubmed/30193257"",""[No authors listed]"",""JAMA. 2018 Sep 4";"320(9):938. doi: 10.1001/jama.2018.11635. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193257"",""pubmed"",""30193257"",""create date:2018/09/08"",";;
"Incorrect Medication Reported.,""/pubmed/30193256"",""[No authors listed]"",""JAMA. 2018 Sep 4";"320(9):938. doi: 10.1001/jama.2018.11607. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193256"",""pubmed"",""30193256"",""create date:2018/09/08"",";;
"Research Reveals Mechanism That May Drive Alcohol Use Disorder.,""/pubmed/30193255"",""Hampton T."",""JAMA. 2018 Sep 4";"320(9):862-863. doi: 10.1001/jama.2017.12864. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30193255"",""pubmed"",""30193255"",""create date:2018/09/08 | first author:Hampton T"",";;
"On the Prospects for a (Deep) Learning Health Care System.,""/pubmed/30178068"",""Naylor CD."",""JAMA. 2018 Sep 18";"320(11):1099-1100. doi: 10.1001/jama.2018.11103. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30178068"",""pubmed"",""30178068"",""create date:2018/09/05 | first author:Naylor CD"",";;
"Deep Learning-A Technology With the Potential to Transform Health Care.,""/pubmed/30178065"",""Hinton G."",""JAMA. 2018 Sep 18";"320(11):1101-1102. doi: 10.1001/jama.2018.11100. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30178065"",""pubmed"",""30178065"",""create date:2018/09/05 | first author:Hinton G"",";;
"Breast Reconstruction Following Breast Cancer Treatment-2018.,""/pubmed/30178060"",""Lee GK, Sheckter CC."",""JAMA. 2018 Sep 25";"320(12):1277-1278. doi: 10.1001/jama.2018.12190. Review. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30178060"",""pubmed"",""30178060"",""create date:2018/09/05 | first author:Lee GK"",";;
"Incorrect Information in Patient Page.,""/pubmed/30178058"",""[No authors listed]"",""JAMA. 2018 Oct 2";"320(13):1387. doi: 10.1001/jama.2018.13459. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30178058"",""pubmed"",""30178058"",""create date:2018/09/05"",";;
"Navigating the Ethical Boundaries of Grateful Patient Fundraising.,""/pubmed/30178043"",""Collins ME, Rum SA, Sugarman J."",""JAMA. 2018 Sep 11";"320(10):975-976. doi: 10.1001/jama.2018.11655. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30178043"",""pubmed"",""30178043"",""create date:2018/09/05 | first author:Collins ME"",";;
"Diagnosis and Treatment of Clostridium difficile Infection.,""/pubmed/30178042"",""Gupta A, Cifu AS, Khanna S."",""JAMA. 2018 Sep 11";"320(10):1031-1032. doi: 10.1001/jama.2018.12194. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30178042"",""pubmed"",""30178042"",""create date:2018/09/05 | first author:Gupta A"",";;
"Clinical Implications and Challenges of Artificial Intelligence and Deep Learning.,""/pubmed/30178025"",""Stead WW."",""JAMA. 2018 Sep 18";"320(11):1107-1108. doi: 10.1001/jama.2018.11029. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30178025"",""pubmed"",""30178025"",""create date:2018/09/05 | first author:Stead WW"",";;
"Crossing the Global Health Care Quality Chasm: A Key Component of Universal Health Coverage.,""/pubmed/30177995"",""Berwick D, Snair M, Nishtar S."",""JAMA. 2018 Oct 2";"320(13):1317-1318. doi: 10.1001/jama.2018.13696. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30177995"",""pubmed"",""30177995"",""create date:2018/09/05 | first author:Berwick D"",";;
"Discussions About Cognitive Decline.,""/pubmed/30167708"",""Kuehn B."",""JAMA. 2018 Aug 28";"320(8):750. doi: 10.1001/jama.2018.11889. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30167708"",""pubmed"",""30167708"",""create date:2018/09/01 | first author:Kuehn B"",";;
"Chronic Fatigue Care.,""/pubmed/30167707"",""Kuehn B."",""JAMA. 2018 Aug 28";"320(8):750. doi: 10.1001/jama.2018.11469. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30167707"",""pubmed"",""30167707"",""create date:2018/09/01 | first author:Kuehn B"",";;
"Diagnosis and Pharmacotherapy of Alcohol Use Disorder: A Review.,""/pubmed/30167705"",""Kranzler HR, Soyka M."",""JAMA. 2018 Aug 28";"320(8):815-824. doi: 10.1001/jama.2018.11406. Review."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30167705"",""pubmed"",""30167705"",""create date:2018/09/01 | first author:Kranzler HR"",";;
"Will This Hospitalized Patient Develop Severe Alcohol Withdrawal Syndrome?: The Rational Clinical Examination Systematic Review.,""/pubmed/30167704"",""Wood E, Albarqouni L, Tkachuk S, Green CJ, Ahamad K, Nolan S, McLean M, Klimas J."",""JAMA. 2018 Aug 28";"320(8):825-833. doi: 10.1001/jama.2018.10574. Review."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30167704"",""pubmed"",""30167704"",""create date:2018/09/01 | first author:Wood E"",";;
"Injury to the Eye.,""/pubmed/30167702"",""Prasad P."",""JAMA. 2018 Aug 28";"320(8):846. doi: 10.1001/jama.2018.8457. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30167702"",""pubmed"",""30167702"",""create date:2018/09/01 | first author:Prasad P"",";;
"Effect of a Strategy of a Supraglottic Airway Device vs Tracheal Intubation During Out-of-Hospital Cardiac Arrest on Functional Outcome: The AIRWAYS-2 Randomized Clinical Trial.,""/pubmed/30167701"",""Benger JR, Kirby K, Black S, Brett SJ, Clout M, Lazaroo MJ, Nolan JP, Reeves BC, Robinson M, Scott LJ, Smartt H, South A, Stokes EA, Taylor J, Thomas M, Voss S, Wordsworth S, Rogers CA."",""JAMA. 2018 Aug 28";"320(8):779-791. doi: 10.1001/jama.2018.11597."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30167701 | PMCID:PMC6142999"",""pubmed"",""30167701"",""create date:2018/09/01 | first author:Benger JR"",";;
"Global Mortality From Firearms, 1990-2016.,""/pubmed/30167700"",""Global Burden of Disease 2016 Injury Collaborators., Naghavi M, Marczak LB, Kutz M, Shackelford KA, Arora M, Miller-Petrie M, Aichour MTE, Akseer N, Al-Raddadi RM, Alam K, Alghnam SA, Antonio CAT, Aremu O, Arora A, Asadi-Lari M, Assadi R, Atey TM, Avila-Burgos L, Awasthi A, Ayala Quintanilla BP, Barker-Collo SL, et al."",""JAMA. 2018 Aug 28";320(8):792-814. doi: 10.1001/jama.2018.10060. Erratum in: JAMA. 2018 Sep 25;"320(12):1288. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30167700 | PMCID:PMC6143020"",""pubmed"",""30167700"",""create date:2018/09/01 | first author:Global Burden of Disease 2016 Injury Collaborators."",";
"Effect of a Strategy of Initial Laryngeal Tube Insertion vs Endotracheal Intubation on 72-Hour Survival in Adults With Out-of-Hospital Cardiac Arrest: A Randomized Clinical Trial.,""/pubmed/30167699"",""Wang HE, Schmicker RH, Daya MR, Stephens SW, Idris AH, Carlson JN, Colella MR, Herren H, Hansen M, Richmond NJ, Puyana JCJ, Aufderheide TP, Gray RE, Gray PC, Verkest M, Owens PC, Brienza AM, Sternig KJ, May SJ, Sopko GR, Weisfeldt ML, Nichol G."",""JAMA. 2018 Aug 28";"320(8):769-778. doi: 10.1001/jama.2018.7044."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30167699"",""pubmed"",""30167699"",""create date:2018/09/01 | first author:Wang HE"",";;
"Drug Improves Glucose Levels and Drives Weight Loss.,""/pubmed/30167698"",""Slomski A."",""JAMA. 2018 Aug 28";"320(8):749. doi: 10.1001/jama.2018.12046. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30167698"",""pubmed"",""30167698"",""create date:2018/09/01 | first author:Slomski A"",";;
